"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",0,0,700,267,0,-1,0,0,0,0
"Ice Harbor",0,0,414,155,0,0,0,0,0,0
"John Day",1,5,520,182,0,0,1,0,-1,0
"Lower Monumental",0,0,1453,531,0,0,0,0,0,0
"McNary",6,0,187,70,0,0,0,0,0,0
"Priest Rapids",0,0,0,0,0,0,0,0,0,0
"Prosser",0,0,634,602,0,0,0,0,0,0
"Roza",0,0,10,7,0,8,0,0,0,0
"Rock Island",0,0,0,0,0,0,0,0,0,0
"Rocky Reach",0,0,0,0,0,0,0,0,0,0
"The Dalles",5,0,59,30,0,0,0,0,0,0
"Tumwater",0,0,4,0,0,0,0,0,0,0
"Wanapum",0,0,0,0,0,0,0,0,0,0
"Wells",0,0,0,0,0,0,0,0,0,0
"Willamette Falls",0,0,1776,0,0,0,0,0,0,0
