"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766953,134162,332438,111034,315666,119679,7345,2045668,24327,0
"Ice Harbor",126981,33554,173381,44626,958,4164,380,145569,416,0
"John Day",437831,100088,254144,83743,260634,41603,4169,0,5764,0
"Little Goose",119441,34043,161102,40751,1056,4244,757,0,83,0
"Lower Granite",115214,38188,166878,44230,1117,4412,425,16968,48,0
"Lower Monumental",123852,36174,180136,48927,1119,4608,645,0,141,0
"McNary",404617,74322,225998,68945,226533,28806,3483,745984,1502,0
"Priest Rapids",149996,13357,19206,0,266896,10517,831,6387,5195,0
"Prosser",12210,2432,4525,4221,753,5829,408,0,7,0
"Roza",5432,1630,308,255,758,679,8,0,0,0
"Rock Island",95002,13025,17187,7133,259217,14427,743,0,1557,59
"Rocky Reach",69856,8580,13631,5343,218305,4161,218,0,1419,138
"The Dalles",527638,112331,271870,89168,269257,48717,4383,828067,7031,0
"Tumwater",6999,1341,1417,0,39913,747,0,0,0,0
"Wanapum",95373,8651,16122,0,212317,5913,395,320,3184,0
"Wells",50906,7105,10643,4307,207589,2687,20,0,0,68
"Willamette Falls",36292,1997,23165,0,0,10506,2695,0,0,0
