"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",759352,132599,328138,109525,315666,103349,6621,2045668,24304,0
"Ice Harbor",126145,33131,157215,39344,958,3492,324,145569,416,0
"John Day",429881,98215,238164,77625,260633,37084,3903,0,5749,0
"Little Goose",117970,33179,140503,35517,1056,3516,607,0,83,0
"Lower Granite",113677,36939,140072,36988,1117,3341,329,16968,48,0
"Lower Monumental",123121,35542,156531,41324,1119,3519,562,0,141,0
"McNary",395192,72365,207484,62915,226533,25454,3263,745984,1500,0
"Priest Rapids",138464,12613,18673,0,266896,8435,737,6382,5157,0
"Prosser",10468,2292,2586,2407,753,3086,276,0,7,0
"Roza",5432,1630,300,249,758,72,3,0,0,0
"Rock Island",88889,12611,16630,6914,259217,10337,604,0,1538,59
"Rocky Reach",64316,8175,12976,5063,218302,2771,174,0,1417,124
"The Dalles",519541,110263,262853,85863,269257,45063,4142,828067,7033,0
"Tumwater",6999,1341,1088,0,39913,326,0,0,0,0
"Wanapum",89779,8257,15605,0,212317,3983,331,320,3132,0
"Wells",48686,6883,9909,3997,207589,1541,16,0,0,68
"Willamette Falls",36237,1989,22819,0,0,9239,2538,0,0,0
