"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",260162,49995,183517,73468,315599,220,62,2045193,21538,0
"Ice Harbor",87501,16221,25208,7792,957,0,0,145386,283,0
"John Day",180202,38660,58114,25766,260457,11,10,0,4364,0
"Little Goose",83088,18399,14352,6268,1051,0,0,0,57,0
"Lower Granite",79588,19958,15852,6511,1089,0,0,16904,27,0
"Lower Monumental",88323,16814,25392,9078,1117,0,0,0,92,0
"McNary",165691,30281,45808,18694,226321,3,0,744590,976,0
"Priest Rapids",76366,5134,5561,0,266790,0,0,6209,2328,0
"Prosser",7822,1926,1446,1349,668,0,0,0,6,0
"Roza",5350,1580,294,247,654,8,0,0,0,0
"Rock Island",74288,8119,4088,2113,258869,0,0,0,437,59
"Rocky Reach",52541,4868,2913,1403,217927,0,0,0,361,123
"The Dalles",206784,41193,82907,37815,269132,16,5,827803,5697,0
"Tumwater",6763,1284,516,0,38964,0,0,0,0,0
"Wanapum",66114,4294,5111,0,212212,0,0,275,1039,0
"Wells",41645,4868,1498,745,207013,0,0,0,0,68
"Willamette Falls",34675,1545,22156,0,0,11,18,0,0,0
