"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",189980,34168,8767,2566,46345,-1,0,1386681,4012,0
"Ice Harbor",74304,12556,5883,1641,12,0,0,35075,7,0
"John Day",124882,24911,6089,2342,20384,0,1,0,293,0
"Little Goose",66499,12641,5187,2595,4,0,0,0,-1,0
"Lower Granite",63186,13292,9137,3657,0,0,0,919,0,0
"Lower Monumental",73236,11912,8500,2879,3,0,0,0,1,0
"McNary",109665,19817,6974,2253,10200,3,0,204144,22,0
"Priest Rapids",20977,2045,109,0,2614,0,0,30,54,0
"Prosser",7148,1551,1431,1337,14,0,0,0,6,0
"Roza",3965,703,294,247,0,8,0,0,0,0
"Rock Island",18587,2841,167,97,871,0,0,0,1,36
"Rocky Reach",7488,1214,378,254,440,0,0,0,0,93
"The Dalles",145925,27535,3622,1356,26954,0,0,514161,485,0
"Tumwater",441,22,250,0,0,0,0,0,0,0
"Wanapum",18091,2192,147,0,1378,0,0,2,32,0
"Wells",5064,1402,112,80,134,0,0,0,0,54
"Willamette Falls",27489,1095,17075,0,0,0,0,0,0,0
