"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",757740,132205,327597,109363,315666,100322,6474,2045668,24304,0
"Ice Harbor",125995,33010,154792,38666,958,3401,317,145569,414,0
"John Day",428101,97781,235796,76747,260633,36144,3865,0,5744,0
"Little Goose",117719,32984,137108,34737,1056,3349,584,0,83,0
"Lower Granite",113448,36717,136296,36094,1117,3145,314,16968,48,0
"Lower Monumental",122968,35396,153303,40484,1119,3381,551,0,141,0
"McNary",392357,71818,204931,62025,226533,24823,3231,745984,1500,0
"Priest Rapids",136857,12490,18578,0,266896,7926,718,6382,5147,0
"Prosser",10195,2267,2500,2332,753,2815,263,0,7,0
"Roza",5432,1630,300,249,758,60,2,0,0,0
"Rock Island",88559,12548,16540,6881,259215,9670,578,0,1535,59
"Rocky Reach",64024,8125,12873,5027,218302,2588,164,0,1416,124
"The Dalles",517451,109837,260987,85233,269257,43678,4051,828067,7032,0
"Tumwater",6999,1341,1060,0,39913,277,0,0,0,0
"Wanapum",89095,8206,15506,0,212317,3565,321,320,3125,0
"Wells",48557,6852,9794,3950,207588,1418,15,0,0,68
"Willamette Falls",36221,1986,22807,0,0,9061,2502,0,0,0
