"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",206687,37955,11790,3637,152013,-1,0,1794995,5391,0
"Ice Harbor",79168,13812,6162,1699,64,0,0,66780,15,0
"John Day",137873,28142,7199,2709,87611,0,1,0,442,0
"Little Goose",72166,14380,5291,2620,24,0,0,0,-1,0
"Lower Granite",68833,15084,9216,3679,7,0,0,2682,0,0
"Lower Monumental",78933,13390,8753,2927,38,0,0,0,4,0
"McNary",121639,22131,7542,2406,53536,3,0,361771,48,0
"Priest Rapids",28010,2367,167,0,21320,0,0,200,88,0
"Prosser",7417,1706,1434,1339,77,0,0,0,6,0
"Roza",4515,1000,294,247,2,8,0,0,0,0
"Rock Island",24021,3237,193,113,9209,0,0,0,2,41
"Rocky Reach",10415,1345,397,264,5226,0,0,0,0,103
"The Dalles",160650,30658,4835,1775,105685,0,0,700914,779,0
"Tumwater",888,74,254,0,5,0,0,0,0,0
"Wanapum",23308,2455,192,0,13738,0,0,9,43,0
"Wells",6889,1558,124,86,2403,0,0,0,0,61
"Willamette Falls",29958,1182,18591,0,0,0,0,0,0,0
