"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",764205,133673,330013,110125,315666,113208,7087,2045668,24310,0
"Ice Harbor",126587,33455,165843,41728,958,3968,352,145569,416,0
"John Day",434962,99316,246390,80786,260633,40635,4103,0,5759,0
"Little Goose",118734,33696,151788,38192,1056,4053,683,0,83,0
"Lower Granite",114488,37683,153449,40405,1117,4039,385,16968,48,0
"Lower Monumental",123549,35928,166955,44273,1119,4041,617,0,142,0
"McNary",401764,73713,217129,66323,226533,27806,3417,745984,1501,0
"Priest Rapids",144562,13035,19008,0,266896,9933,801,6383,5181,0
"Prosser",11524,2373,3324,3078,753,4967,359,0,7,0
"Roza",5432,1630,302,250,758,269,4,0,0,0
"Rock Island",91035,12848,16945,7034,259217,13088,693,0,1550,59
"Rocky Reach",66122,8411,13312,5199,218305,3668,199,0,1419,127
"The Dalles",525097,111516,267583,87587,269257,47996,4324,828067,7033,0
"Tumwater",6999,1341,1234,0,39913,650,0,0,0,0
"Wanapum",92914,8501,15933,0,212317,5432,378,320,3163,0
"Wells",49359,7006,10282,4150,207589,2168,20,0,0,68
"Willamette Falls",36279,1997,22865,0,0,9954,2627,0,0,0
