"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",568454,90882,285587,99126,315663,45081,2775,2045668,23962,0
"Ice Harbor",105292,21685,62047,16766,958,252,47,145569,382,0
"John Day",285239,60345,133617,47233,260611,8597,1398,0,5443,0
"Little Goose",95745,22108,39169,12937,1055,96,28,0,81,0
"Lower Granite",89528,23299,36369,12739,1107,15,4,16968,48,0
"Lower Monumental",102726,22207,56809,17406,1119,139,31,0,136,0
"McNary",238260,42218,100849,34447,226466,3381,564,745984,1388,0
"Priest Rapids",88471,8165,12947,0,266892,563,102,6362,4417,0
"Prosser",8552,2032,1540,1439,737,27,8,0,6,0
"Roza",5407,1615,294,247,734,8,0,0,0,0
"Rock Island",79296,10606,10752,4729,259161,184,56,0,1274,59
"Rocky Reach",57173,6638,7789,3235,218250,18,8,0,1179,124
"The Dalles",362228,69845,172298,61501,269246,13347,1926,828067,6800,0
"Tumwater",6946,1335,733,0,39852,1,0,0,0,0
"Wanapum",71016,6145,10808,0,212316,239,57,316,2449,0
"Wells",45814,6009,5374,2303,207530,2,0,0,0,68
"Willamette Falls",35164,1667,22516,0,0,884,346,0,0,0
