"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",234105,44516,32745,14254,301290,-1,0,2026133,10500,0
"Ice Harbor",84888,15653,8567,2381,678,0,0,133409,65,0
"John Day",163291,34205,15171,6382,241534,0,1,0,1490,0
"Little Goose",80013,17354,6270,2963,607,0,0,0,6,0
"Lower Granite",76703,18582,9974,3944,536,0,0,11060,0,0
"Lower Monumental",85512,15893,10851,3560,729,0,0,0,15,0
"McNary",148061,26938,12098,4126,203796,3,0,672209,175,0
"Priest Rapids",55262,3297,788,0,213406,0,0,4291,340,0
"Prosser",7653,1862,1443,1348,280,0,0,0,6,0
"Roza",5179,1449,294,247,85,8,0,0,0,0
"Rock Island",49583,4930,513,293,178911,0,0,0,26,55
"Rocky Reach",28419,2418,576,347,135477,0,0,0,14,118
"The Dalles",186635,36471,16126,7445,252693,0,0,821298,2170,0
"Tumwater",2787,534,279,0,3761,0,0,0,0,0
"Wanapum",46575,3026,712,0,167763,0,0,200,160,0
"Wells",20783,2404,213,134,108946,0,0,0,0,68
"Willamette Falls",33429,1367,20935,0,0,0,0,0,0,0
