"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",248027,47718,98211,44794,315047,-1,0,2042690,17718,0
"Ice Harbor",86444,16073,15832,4828,934,0,0,144343,160,0
"John Day",174411,37130,37673,17173,259540,1,1,0,3054,0
"Little Goose",82139,18223,9221,4212,1011,0,0,0,30,0
"Lower Granite",78834,19710,12335,5011,1031,0,0,16199,10,0
"Lower Monumental",87398,16610,16690,5841,1092,0,0,0,45,0
"McNary",159916,29172,27142,10884,225443,3,0,737055,527,0
"Priest Rapids",70383,3969,2449,0,264677,0,0,5806,1058,0
"Prosser",7756,1908,1446,1349,643,0,0,0,6,0
"Roza",5302,1548,294,247,383,8,0,0,0,0
"Rock Island",67424,6811,1655,887,255493,0,0,0,122,59
"Rocky Reach",45314,3917,1273,663,214004,0,0,0,91,122
"The Dalles",198727,39364,51834,25117,268487,0,0,826890,4314,0
"Tumwater",5708,1170,382,0,31153,0,0,0,0,0
"Wanapum",60491,3508,2160,0,210171,0,0,247,422,0
"Wells",35026,3847,584,309,201261,0,0,0,0,68
"Willamette Falls",34452,1478,21895,0,0,0,0,0,0,0
