"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",4,0,911,347,0,-1,0,0,0,0
"Ice Harbor",1,0,589,179,0,0,0,0,0,0
"John Day",1,5,966,299,0,0,1,0,-1,0
"Little Goose",0,0,109,60,0,0,0,0,0,0
"Lower Granite",0,0,136,36,0,0,0,0,0,0
"Lower Monumental",0,0,1698,622,0,0,0,0,0,0
"McNary",6,0,295,116,0,1,0,0,0,0
"Priest Rapids",0,0,0,0,0,0,0,0,0,0
"Prosser",0,0,705,669,0,0,0,0,0,0
"Roza",0,0,15,11,0,8,0,0,0,0
"Rock Island",0,0,0,0,0,0,0,0,0,0
"Rocky Reach",0,0,0,0,0,0,0,0,0,0
"The Dalles",7,0,207,85,0,0,0,0,0,0
"Tumwater",0,0,5,0,0,0,0,0,0,0
"Wanapum",0,0,0,0,0,0,0,0,0,0
"Wells",0,0,0,0,0,0,0,0,0,0
"Willamette Falls",0,0,2083,0,0,0,0,0,0,0
