"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",280399,53381,220767,82920,315636,1982,269,2045495,22496,0
"Ice Harbor",88765,16389,29504,8978,958,0,0,145522,322,0
"John Day",185765,39923,71853,30171,260509,132,57,0,4775,0
"Little Goose",83979,18514,16994,7188,1053,0,0,0,70,0
"Lower Granite",80201,20083,18237,7437,1096,0,0,16958,37,0
"Lower Monumental",89378,17012,29141,10281,1119,0,0,0,113,0
"McNary",169564,30993,54470,21639,226380,26,9,745631,1130,0
"Priest Rapids",78167,5905,7280,0,266872,17,1,6295,3042,0
"Prosser",7843,1932,1446,1349,669,0,0,0,6,0
"Roza",5364,1593,294,247,699,8,0,0,0,0
"Rock Island",76249,8971,5681,2833,259050,0,0,0,661,59
"Rocky Reach",54536,5536,4101,1913,218145,0,0,0,605,124
"The Dalles",216513,43077,100095,43130,269183,269,85,827967,6146,0
"Tumwater",6891,1307,582,0,39380,0,0,0,0,0
"Wanapum",67442,4806,6442,0,212296,1,0,297,1455,0
"Wells",43538,5243,2291,1105,207355,0,0,0,0,68
"Willamette Falls",34735,1564,22240,0,0,25,33,0,0,0
