"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",243135,46514,63543,29459,313210,-1,0,2039611,14502,0
"Ice Harbor",85986,15981,11936,3518,897,0,0,142613,110,0
"John Day",170814,36123,26435,11838,256922,1,1,0,2349,0
"Little Goose",81468,18027,7700,3566,935,0,0,0,18,0
"Lower Granite",78167,19407,11106,4442,912,0,0,14901,3,0
"Lower Monumental",86886,16448,13842,4714,1034,0,0,0,30,0
"McNary",156105,28456,19068,7302,222909,3,0,723363,335,0
"Priest Rapids",65203,3675,1492,0,257490,0,0,5427,621,0
"Prosser",7682,1881,1446,1349,424,0,0,0,6,0
"Roza",5273,1523,294,247,248,8,0,0,0,0
"Rock Island",61066,6117,998,554,243072,0,0,0,65,58
"Rocky Reach",38721,3314,866,478,199697,0,0,0,38,121
"The Dalles",194670,38345,34048,16448,266374,0,0,825809,3446,0
"Tumwater",4640,945,326,0,22615,0,0,0,0,0
"Wanapum",55506,3319,1334,0,203021,0,0,230,263,0
"Wells",29370,3218,362,207,181848,0,0,0,0,68
"Willamette Falls",34003,1433,21505,0,0,0,0,0,0,0
