"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",245518,47100,79436,36846,314436,-1,0,2041345,16102,0
"Ice Harbor",86240,16037,13613,4086,921,0,0,143602,137,0
"John Day",172745,36654,32160,14562,258594,1,1,0,2686,0
"Little Goose",81874,18159,8545,3927,987,0,0,0,24,0
"Lower Granite",78532,19587,11721,4725,988,0,0,15722,6,0
"Lower Monumental",87189,16548,15263,5280,1075,0,0,0,36,0
"McNary",158188,28858,22892,9013,224498,3,0,731185,430,0
"Priest Rapids",68116,3811,1893,0,262364,0,0,5640,816,0
"Prosser",7729,1902,1446,1349,605,0,0,0,6,0
"Roza",5286,1537,294,247,322,8,0,0,0,0
"Rock Island",64649,6477,1272,696,251649,0,0,0,92,59
"Rocky Reach",42035,3607,1038,554,209210,0,0,0,60,122
"The Dalles",196788,38849,43144,20911,267803,0,0,826418,3897,0
"Tumwater",5172,1068,352,0,27076,0,0,0,0,0
"Wanapum",58426,3416,1688,0,208031,0,0,234,336,0
"Wells",32242,3527,460,254,194239,0,0,0,0,68
"Willamette Falls",34228,1459,21706,0,0,0,0,0,0,0
