"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",754310,131483,326545,109051,315666,95727,6234,2045668,24298,0
"Ice Harbor",125695,32785,150191,37482,958,3219,304,145569,414,0
"John Day",424174,96930,231564,75191,260633,34385,3793,0,5742,0
"Little Goose",117268,32694,131103,33420,1056,3095,555,0,84,0
"Lower Granite",112998,36275,129224,34403,1117,2800,291,16968,48,0
"Lower Monumental",122702,35122,148126,39175,1119,3150,526,0,141,0
"McNary",387974,70837,200373,60526,226530,23782,3154,745984,1498,0
"Priest Rapids",134679,12312,18411,0,266896,7344,678,6383,5127,0
"Prosser",10079,2251,2420,2262,753,2511,245,0,7,0
"Roza",5430,1630,298,249,757,36,0,0,0,0
"Rock Island",87980,12444,16362,6817,259214,8636,541,0,1532,59
"Rocky Reach",63625,8048,12664,4947,218301,2270,147,0,1413,124
"The Dalles",513703,108879,258274,84368,269257,41915,3975,828067,7030,0
"Tumwater",6996,1341,1022,0,39913,219,0,0,0,0
"Wanapum",88153,8109,15342,0,212317,3043,302,319,3110,0
"Wells",48394,6807,9600,3874,207586,1241,13,0,0,68
"Willamette Falls",36178,1972,22786,0,0,8723,2439,0,0,0
