"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",762227,133257,329297,109893,315666,109408,6911,2045668,24306,0
"Ice Harbor",126422,33334,161931,40655,958,3744,335,145569,416,0
"John Day",432960,98920,243466,79633,260633,39633,4046,0,5755,0
"Little Goose",118423,33466,147170,37064,1056,3824,647,0,83,0
"Lower Granite",114150,37371,147889,38921,1117,3744,358,16968,48,0
"Lower Monumental",123390,35784,162353,42925,1119,3810,580,0,142,0
"McNary",399478,73212,213575,65056,226533,26998,3361,745984,1501,0
"Priest Rapids",141059,12804,18847,0,266896,9250,771,6382,5172,0
"Prosser",10917,2332,2976,2761,753,4143,321,0,7,0
"Roza",5432,1630,301,250,758,95,4,0,0,0
"Rock Island",89722,12730,16812,6983,259217,11827,652,0,1545,59
"Rocky Reach",65051,8301,13170,5143,218304,3262,186,0,1419,125
"The Dalles",522828,111006,265741,86889,269257,46974,4268,828067,7033,0
"Tumwater",6999,1341,1178,0,39913,488,0,0,0,0
"Wanapum",91222,8377,15789,0,212317,4802,357,320,3149,0
"Wells",48962,6952,10137,4092,207589,1867,19,0,0,68
"Willamette Falls",36269,1996,22843,0,0,9726,2595,0,0,0
