"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",162477,28133,6220,1884,1425,-1,0,525958,1939,0
"Ice Harbor",64743,10358,5660,1611,0,0,0,4305,3,0
"John Day",104662,20770,5414,2161,448,0,1,0,98,0
"Little Goose",57431,10141,5112,2581,0,0,0,0,0,0
"Lower Granite",54415,10521,9092,3646,0,0,0,12,0,0
"Lower Monumental",63081,9627,8315,2847,0,0,0,0,1,0
"McNary",91273,16207,6587,2180,130,2,0,36346,11,0
"Priest Rapids",15666,1639,77,0,22,0,0,3,28,0
"Prosser",6449,1185,1431,1337,0,0,0,0,6,0
"Roza",2693,260,294,247,0,8,0,0,0,0
"Rock Island",14610,2168,146,86,0,0,0,0,0,23
"Rocky Reach",5912,938,356,242,1,0,0,0,0,66
"The Dalles",123120,22905,2914,1162,629,0,0,252809,71,0
"Tumwater",125,1,248,0,0,0,0,0,0,0
"Wanapum",14091,1687,120,0,7,0,0,1,16,0
"Wells",4174,1048,95,69,0,0,0,0,0,37
"Willamette Falls",24104,914,14123,0,0,0,0,0,0,0
