"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",241853,46207,56268,25977,312182,-1,0,2038044,13624,0
"Ice Harbor",85819,15934,11122,3251,875,0,0,141955,97,0
"John Day",169558,35822,23751,10567,255627,0,1,0,2184,0
"Little Goose",81276,17946,7391,3432,901,0,0,0,16,0
"Lower Granite",77929,19302,10852,4326,852,0,0,14349,2,0
"Lower Monumental",86688,16389,13161,4435,1006,0,0,0,28,0
"McNary",154729,28213,17298,6505,221356,3,0,717572,293,0
"Priest Rapids",63460,3599,1326,0,253472,0,0,5282,558,0
"Prosser",7678,1879,1446,1349,420,0,0,0,6,0
"Roza",5266,1514,294,247,182,8,0,0,0,0
"Rock Island",59342,5920,882,493,236105,0,0,0,53,57
"Rocky Reach",37002,3158,794,446,191992,0,0,0,31,121
"The Dalles",193501,38064,29808,14363,265327,0,0,825273,3228,0
"Tumwater",4334,874,316,0,19734,0,0,0,0,0
"Wanapum",54086,3276,1189,0,199296,0,0,227,236,0
"Wells",27800,3066,323,189,171608,0,0,0,0,68
"Willamette Falls",33895,1422,21408,0,0,0,0,0,0,0
