"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",0,0,204,77,0,-1,0,0,0,0
"Ice Harbor",0,0,44,19,0,0,0,0,0,0
"John Day",1,2,83,41,0,0,1,0,-1,0
"Lower Monumental",0,0,301,121,0,0,0,0,0,0
"McNary",3,0,65,19,0,0,0,0,0,0
"Priest Rapids",0,0,0,0,0,0,0,0,0,0
"Prosser",0,0,119,109,0,0,0,0,0,0
"Roza",0,0,0,0,0,6,0,0,0,0
"Rock Island",0,0,0,0,0,0,0,0,0,0
"Rocky Reach",0,0,0,0,0,0,0,0,0,0
"The Dalles",2,0,5,2,0,0,0,0,0,0
"Tumwater",0,0,2,0,0,0,0,0,0,0
"Wanapum",0,0,0,0,0,0,0,0,0,0
"Wells",0,0,0,0,0,0,0,0,0,0
"Willamette Falls",0,0,327,0,0,0,0,0,0,0
