"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",18,0,1107,426,0,-1,0,0,0,0
"Ice Harbor",2,0,1025,273,0,0,0,0,0,0
"John Day",2,5,1452,477,0,0,1,0,-1,0
"Little Goose",0,1,447,216,0,0,0,0,0,0
"Lower Granite",0,0,786,222,0,0,0,0,0,0
"Lower Monumental",0,0,2198,753,0,0,0,0,0,0
"McNary",6,0,925,293,0,1,0,0,0,0
"Priest Rapids",0,0,0,0,0,0,0,0,0,0
"Prosser",0,0,798,759,0,0,0,0,0,0
"Roza",0,0,32,21,0,8,0,0,0,0
"Rock Island",0,0,0,0,0,0,0,0,0,0
"Rocky Reach",0,0,0,0,0,0,0,0,0,0
"The Dalles",9,0,387,163,0,0,0,0,0,0
"Tumwater",0,0,7,0,0,0,0,0,0,0
"Wanapum",0,0,0,0,0,0,0,0,0,0
"Wells",0,0,0,0,0,0,0,0,0,0
"Willamette Falls",2,0,2472,0,0,0,0,0,0,0
