"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",444743,74894,266834,94531,315660,25588,1648,2045668,23630,0
"Ice Harbor",97476,18898,46344,13028,958,50,11,145569,370,0
"John Day",234975,50171,108750,40416,260581,3216,662,0,5278,0
"Little Goose",89390,19980,28122,10320,1055,8,2,0,79,0
"Lower Granite",83964,21369,26890,10201,1105,1,0,16968,47,0
"Lower Monumental",95993,19472,43313,14015,1119,17,2,0,132,0
"McNary",200468,36408,80347,29001,226423,855,193,745984,1328,0
"Priest Rapids",82755,7431,11108,0,266892,171,26,6356,4071,0
"Prosser",8120,1992,1474,1377,696,1,0,0,6,0
"Roza",5391,1608,294,247,726,8,0,0,0,0
"Rock Island",78199,10190,9082,4138,259136,25,14,0,1100,59
"Rocky Reach",56381,6338,6532,2812,218233,2,2,0,1024,124
"The Dalles",292093,57369,145361,54994,269233,5838,995,828067,6621,0
"Tumwater",6930,1329,671,0,39739,0,0,0,0,0
"Wanapum",69379,5705,9287,0,212315,66,13,313,2170,0
"Wells",45319,5812,4300,1910,207503,0,0,0,0,68
"Willamette Falls",34964,1613,22429,0,0,165,108,0,0,0
