"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",249470,48077,113334,50635,315263,2,1,2043559,18726,0
"Ice Harbor",86584,16095,17546,5386,941,0,0,144683,181,0
"John Day",175641,37502,41994,19199,259920,1,1,0,3351,0
"Little Goose",82271,18263,9863,4463,1024,0,0,0,33,0
"Lower Granite",78969,19768,12747,5195,1049,0,0,16470,13,0
"Lower Monumental",87527,16648,18126,6391,1099,0,0,0,55,0
"McNary",161032,29397,30661,12453,225801,3,0,739651,614,0
"Priest Rapids",71755,4076,2963,0,265726,0,0,5918,1234,0
"Prosser",7763,1911,1446,1349,643,0,0,0,6,0
"Roza",5309,1554,294,247,435,8,0,0,0,0
"Rock Island",69150,7043,1987,1055,257016,0,0,0,155,59
"Rocky Reach",47029,4107,1483,759,215662,0,0,0,119,122
"The Dalles",200105,39723,58913,28363,268747,0,0,827153,4618,0
"Tumwater",6074,1213,411,0,34602,0,0,0,0,0
"Wanapum",61951,3605,2630,0,211079,0,0,250,504,0
"Wells",36713,4075,704,362,203830,0,0,0,0,68
"Willamette Falls",34501,1485,21960,0,0,0,0,0,0,0
