"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",249035,47968,108486,48828,315207,1,0,2043289,18402,0
"Ice Harbor",86535,16088,16935,5193,939,0,0,144573,174,0
"John Day",175251,37381,40499,18518,259834,1,1,0,3249,0
"Little Goose",82232,18253,9629,4375,1020,0,0,0,32,0
"Lower Granite",78927,19749,12595,5129,1046,0,0,16399,13,0
"Lower Monumental",87485,16637,17608,6202,1097,0,0,0,52,0
"McNary",160602,29318,29353,11859,225693,3,0,738933,581,0
"Priest Rapids",71335,4041,2774,0,265466,0,0,5887,1176,0
"Prosser",7761,1910,1446,1349,643,0,0,0,6,0
"Roza",5307,1552,294,247,412,8,0,0,0,0
"Rock Island",68535,6961,1862,992,256497,0,0,0,143,59
"Rocky Reach",46473,4046,1409,724,215197,0,0,0,110,122
"The Dalles",199697,39619,56522,27303,268679,0,0,827085,4524,0
"Tumwater",5960,1204,400,0,33781,0,0,0,0,0
"Wanapum",61495,3571,2455,0,210814,0,0,249,479,0
"Wells",36177,3992,658,343,203182,0,0,0,0,68
"Willamette Falls",34486,1483,21944,0,0,0,0,0,0,0
