"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",0,0,616,232,0,-1,0,0,0,0
"Ice Harbor",0,0,322,140,0,0,0,0,0,0
"John Day",1,5,280,113,0,0,1,0,-1,0
"Lower Monumental",0,0,1221,478,0,0,0,0,0,0
"McNary",6,0,164,59,0,0,0,0,0,0
"Priest Rapids",0,0,0,0,0,0,0,0,0,0
"Prosser",0,0,580,550,0,0,0,0,0,0
"Roza",0,0,9,6,0,8,0,0,0,0
"Rock Island",0,0,0,0,0,0,0,0,0,0
"Rocky Reach",0,0,0,0,0,0,0,0,0,0
"The Dalles",4,0,36,20,0,0,0,0,0,0
"Tumwater",0,0,3,0,0,0,0,0,0,0
"Wanapum",0,0,0,0,0,0,0,0,0,0
"Wells",0,0,0,0,0,0,0,0,0,0
"Willamette Falls",0,0,1599,0,0,0,0,0,0,0
