"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",13,0,1043,405,0,-1,0,0,0,0
"Ice Harbor",2,0,778,229,0,0,0,0,0,0
"John Day",1,5,1319,433,0,0,1,0,-1,0
"Little Goose",0,1,384,191,0,0,0,0,0,0
"Lower Granite",0,0,499,139,0,0,0,0,0,0
"Lower Monumental",0,0,2043,723,0,0,0,0,0,0
"McNary",6,0,733,232,0,1,0,0,0,0
"Priest Rapids",0,0,0,0,0,0,0,0,0,0
"Prosser",0,0,776,737,0,0,0,0,0,0
"Roza",0,0,26,20,0,8,0,0,0,0
"Rock Island",0,0,0,0,0,0,0,0,0,0
"Rocky Reach",0,0,0,0,0,0,0,0,0,0
"The Dalles",9,0,324,134,0,0,0,0,0,0
"Tumwater",0,0,7,0,0,0,0,0,0,0
"Wanapum",0,0,0,0,0,0,0,0,0,0
"Wells",0,0,0,0,0,0,0,0,0,0
"Willamette Falls",0,0,2368,0,0,0,0,0,0,0
