"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766338,134074,331105,110537,315666,118388,7296,2045668,24322,0
"Ice Harbor",126865,33547,170448,43356,958,4135,374,145569,416,0
"John Day",437047,99882,249819,82154,260634,41463,4155,0,5765,0
"Little Goose",119239,33973,157492,39685,1056,4228,743,0,83,0
"Lower Granite",114993,38101,161422,42569,1117,4344,418,16968,48,0
"Lower Monumental",123742,36104,175638,47317,1119,4509,638,0,141,0
"McNary",404089,74250,221700,67650,226533,28532,3473,745984,1502,0
"Priest Rapids",149692,13332,19174,0,266896,10486,829,6387,5194,0
"Prosser",12154,2428,3935,3646,753,5678,397,0,7,0
"Roza",5432,1630,304,251,758,476,4,0,0,0
"Rock Island",94741,13001,17132,7110,259217,14355,738,0,1557,59
"Rocky Reach",69629,8563,13541,5304,218305,4128,216,0,1419,131
"The Dalles",527084,112135,270092,88560,269257,48640,4376,828067,7033,0
"Tumwater",6999,1341,1346,0,39913,729,0,0,0,0
"Wanapum",95205,8636,16085,0,212317,5882,392,320,3181,0
"Wells",50825,7097,10547,4265,207589,2645,20,0,0,68
"Willamette Falls",36292,1997,22925,0,0,10348,2677,0,0,0
