"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",752667,131150,326110,108932,315666,93802,6134,2045668,24294,0
"Ice Harbor",125589,32696,148340,37019,958,3160,299,145569,414,0
"John Day",422599,96549,230168,74683,260633,34009,3765,0,5741,0
"Little Goose",117084,32560,128331,32796,1056,2988,539,0,85,0
"Lower Granite",112790,36085,126249,33695,1117,2680,282,16968,48,0
"Lower Monumental",122568,34995,145646,38566,1119,3054,516,0,141,0
"McNary",386116,70431,198457,59931,226529,23255,3120,745984,1497,0
"Priest Rapids",134019,12241,18342,0,266896,7130,662,6383,5118,0
"Prosser",10019,2247,2388,2233,753,2378,239,0,7,0
"Roza",5430,1630,298,249,757,34,0,0,0,0
"Rock Island",87844,12416,16303,6795,259213,8365,526,0,1529,59
"Rocky Reach",63515,8012,12601,4928,218300,2174,144,0,1412,124
"The Dalles",511952,108450,257208,84030,269257,41403,3945,828067,7029,0
"Tumwater",6995,1341,1013,0,39913,198,0,0,0,0
"Wanapum",87882,8075,15276,0,212317,2865,294,319,3103,0
"Wells",48309,6788,9522,3846,207585,1168,12,0,0,68
"Willamette Falls",36163,1970,22780,0,0,8594,2416,0,0,0
