"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",213033,39436,13722,4474,196266,-1,0,1884943,5977,0
"Ice Harbor",80515,14307,6355,1740,116,0,0,78882,18,0
"John Day",143519,29492,7974,3009,128598,0,1,0,548,0
"Little Goose",74501,15135,5361,2639,52,0,0,0,-1,0
"Lower Granite",70967,15870,9264,3692,23,0,0,4427,0,0
"Lower Monumental",80493,13947,8895,2961,88,0,0,0,4,0
"McNary",127143,23143,7959,2533,88817,3,0,439511,63,0
"Priest Rapids",31906,2513,220,0,43643,0,0,584,109,0
"Prosser",7502,1759,1436,1341,99,0,0,0,6,0
"Roza",4709,1113,294,247,10,8,0,0,0,0
"Rock Island",26896,3433,214,126,19353,0,0,0,3,43
"Rocky Reach",12358,1416,407,270,11885,0,0,0,0,106
"The Dalles",166748,32041,5790,2175,147469,0,0,746093,956,0
"Tumwater",1168,120,256,0,120,0,0,0,0,0
"Wanapum",26207,2539,231,0,28575,0,0,22,49,0
"Wells",8240,1627,131,90,6183,0,0,0,0,64
"Willamette Falls",30964,1227,19219,0,0,0,0,0,0,0
