"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",160421,27735,6093,1853,1010,-1,0,457500,1781,0
"Ice Harbor",63952,10152,5651,1610,0,0,0,3473,2,0
"John Day",103251,20462,5389,2155,293,0,1,0,92,0
"Little Goose",56644,9857,5109,2580,0,0,0,0,0,0
"Lower Granite",53682,10238,9091,3646,0,0,0,9,0,0
"Lower Monumental",62312,9400,8307,2845,0,0,0,0,1,0
"McNary",90165,15951,6571,2177,83,2,0,29305,11,0
"Priest Rapids",15432,1588,76,0,16,0,0,1,27,0
"Prosser",6394,1157,1431,1337,0,0,0,0,6,0
"Roza",2607,236,294,247,0,8,0,0,0,0
"Rock Island",14407,2097,145,85,0,0,0,0,0,22
"Rocky Reach",5839,899,354,241,0,0,0,0,0,62
"The Dalles",121624,22601,2881,1157,434,0,0,240083,54,0
"Tumwater",110,1,248,0,0,0,0,0,0,0
"Wanapum",13897,1616,118,0,5,0,0,1,15,0
"Wells",4116,1011,94,68,0,0,0,0,0,36
"Willamette Falls",23722,895,13911,0,0,0,0,0,0,0
