"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",232017,44013,28416,11960,295295,-1,0,2021709,9840,0
"Ice Harbor",84498,15525,8050,2215,592,0,0,128908,57,0
"John Day",161252,33697,13368,5463,233773,0,1,0,1320,0
"Little Goose",79478,17123,6055,2872,510,0,0,0,4,0
"Lower Granite",76191,18250,9813,3882,437,0,0,10080,0,0
"Lower Monumental",85106,15663,10424,3416,623,0,0,0,12,0
"McNary",145968,26503,11221,3747,193514,3,0,654496,153,0
"Priest Rapids",52324,3191,672,0,196257,0,0,3981,292,0
"Prosser",7635,1851,1442,1347,199,0,0,0,6,0
"Roza",5142,1418,294,247,79,8,0,0,0,0
"Rock Island",46433,4671,443,254,156237,0,0,0,19,53
"Rocky Reach",26002,2238,537,331,115781,0,0,0,10,117
"The Dalles",184673,36034,13629,6111,246302,0,0,818676,1909,0
"Tumwater",2526,460,273,0,2366,0,0,0,0,0
"Wanapum",43874,2958,613,0,154241,0,0,179,129,0
"Wells",18859,2264,193,124,86972,0,0,0,0,67
"Willamette Falls",33267,1350,20808,0,0,0,0,0,0,0
