"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",0,0,744,285,0,-1,0,0,0,0
"Ice Harbor",0,0,421,156,0,0,0,0,0,0
"John Day",1,5,639,211,0,0,1,0,-1,0
"Lower Monumental",0,0,1560,563,0,0,0,0,0,0
"McNary",6,0,205,77,0,1,0,0,0,0
"Priest Rapids",0,0,0,0,0,0,0,0,0,0
"Prosser",0,0,652,620,0,0,0,0,0,0
"Roza",0,0,10,7,0,8,0,0,0,0
"Rock Island",0,0,0,0,0,0,0,0,0,0
"Rocky Reach",0,0,0,0,0,0,0,0,0,0
"The Dalles",5,0,78,36,0,0,0,0,0,0
"Tumwater",0,0,4,0,0,0,0,0,0,0
"Wanapum",0,0,0,0,0,0,0,0,0,0
"Wells",0,0,0,0,0,0,0,0,0,0
"Willamette Falls",0,0,1858,0,0,0,0,0,0,0
