"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",256256,49337,162732,67583,315574,72,23,2044990,20993,0
"Ice Harbor",87198,16180,23424,7243,954,0,0,145314,262,0
"John Day",178954,38368,54758,24510,260407,8,4,0,4165,0
"Little Goose",82885,18369,13239,5828,1048,0,0,0,53,0
"Lower Granite",79427,19931,15137,6216,1083,0,0,16848,23,0
"Lower Monumental",88084,16767,23687,8479,1115,0,0,0,85,0
"McNary",164579,30078,42697,17513,226277,3,0,743925,905,0
"Priest Rapids",75504,4841,4977,0,266709,0,0,6154,2043,0
"Prosser",7818,1926,1446,1349,666,0,0,0,6,0
"Roza",5347,1576,294,247,622,8,0,0,0,0
"Rock Island",73435,7872,3551,1853,258711,0,0,0,350,59
"Rocky Reach",51649,4691,2517,1236,217748,0,0,0,274,123
"The Dalles",204737,40780,77692,35961,269096,4,2,827745,5503,0
"Tumwater",6676,1274,492,0,38641,0,0,0,0,0
"Wanapum",65402,4116,4547,0,212133,0,0,268,886,0
"Wells",40792,4691,1259,628,206747,0,0,0,0,68
"Willamette Falls",34628,1527,22100,0,0,6,7,0,0,0
