"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",726200,124350,318794,107086,315666,75212,4885,2045668,24240,0
"Ice Harbor",122873,30324,119955,30230,958,2348,237,145569,409,0
"John Day",398294,89679,204268,66320,260632,26821,3290,0,5705,0
"Little Goose",113133,29894,93963,25238,1056,1604,324,0,85,0
"Lower Granite",108343,32633,89765,25368,1115,1097,141,16968,48,0
"Lower Monumental",119359,32220,113320,30800,1119,1880,329,0,141,0
"McNary",355328,63789,168465,51368,226519,17611,2496,745984,1481,0
"Priest Rapids",122863,11165,17224,0,266896,4584,443,6380,4972,0
"Prosser",9638,2185,2003,1872,752,1092,118,0,7,0
"Roza",5424,1626,295,248,756,11,0,0,0,0
"Rock Island",85449,11857,15044,6333,259203,3911,338,0,1461,59
"Rocky Reach",61634,7581,11366,4497,218290,852,70,0,1369,124
"The Dalles",486912,101111,237724,78148,269255,34244,3491,828067,7005,0
"Tumwater",6967,1338,905,0,39910,71,0,0,0,0
"Wanapum",83177,7557,14256,0,212317,1461,193,318,2983,0
"Wells",47611,6560,8318,3398,207573,340,6,0,0,68
"Willamette Falls",35851,1890,22705,0,0,5797,1833,0,0,0
