"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",226970,42824,21782,8456,274416,-1,0,2001335,8201,0
"Ice Harbor",83548,15251,7310,1988,427,0,0,116987,42,0
"John Day",156705,32495,11058,4338,208241,0,1,0,1030,0
"Little Goose",78058,16552,5736,2756,327,0,0,0,0,0
"Lower Granite",74917,17540,9548,3782,245,0,0,7932,0,0
"Lower Monumental",84003,15221,9732,3192,425,0,0,0,8,0
"McNary",140645,25479,9811,3190,168231,3,0,608335,116,0
"Priest Rapids",46044,2967,493,0,152545,0,0,2933,201,0
"Prosser",7603,1830,1439,1344,141,0,0,0,6,0
"Roza",5063,1354,294,247,58,8,0,0,0,0
"Rock Island",39480,4156,337,197,100111,0,0,0,11,49
"Rocky Reach",20847,1823,476,304,69945,0,0,0,5,113
"The Dalles",180146,34885,10008,4231,223154,0,0,810156,1495,0
"Tumwater",2012,322,265,0,563,0,0,0,0,0
"Wanapum",38065,2822,449,0,111955,0,0,111,85,0
"Wells",14477,1966,159,106,47007,0,0,0,0,66
"Willamette Falls",32565,1312,20370,0,0,0,0,0,0,0
